# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility
2.163327	-0.250082	0.000066	0.051069	0.000333
2.168136	-0.248564	0.000064	0.051419	0.000332
2.172946	-0.248763	0.000063	0.052549	0.000365
2.177756	-0.247299	0.000063	0.052397	0.000343
2.182565	-0.246266	0.000062	0.052106	0.000343
2.187375	-0.246200	0.000065	0.052651	0.000349
2.192184	-0.246332	0.000066	0.051508	0.000323
2.196994	-0.244920	0.000060	0.051690	0.000343
2.201804	-0.244916	0.000063	0.051414	0.000324
2.206613	-0.244734	0.000062	0.051190	0.000340
2.211423	-0.242777	0.000066	0.050595	0.000342
2.216232	-0.243247	0.000060	0.050473	0.000322
2.221042	-0.241657	0.000057	0.051343	0.000319
2.225852	-0.242125	0.000059	0.051914	0.000311
2.230661	-0.242144	0.000059	0.050233	0.000303
2.235471	-0.241308	0.000063	0.050241	0.000305
2.240281	-0.239067	0.000060	0.049216	0.000311
2.245090	-0.238543	0.000061	0.050777	0.000319
2.249900	-0.239545	0.000059	0.050461	0.000318
2.254709	-0.238287	0.000058	0.050530	0.000305
2.259519	-0.237766	0.000061	0.050838	0.000319
2.264329	-0.236685	0.000059	0.049108	0.000293
2.269138	-0.237311	0.000058	0.050736	0.000310
2.273948	-0.235577	0.000054	0.049811	0.000292
2.278758	-0.235572	0.000057	0.050355	0.000303
2.283567	-0.234706	0.000059	0.049317	0.000290
2.288377	-0.234850	0.000056	0.050535	0.000299
2.293186	-0.234939	0.000058	0.049262	0.000292
2.297996	-0.233265	0.000057	0.048322	0.000274
2.302806	-0.233018	0.000057	0.049819	0.000289
2.307615	-0.232175	0.000056	0.049972	0.000298
2.312425	-0.232746	0.000055	0.050292	0.000292
2.317234	-0.230092	0.000054	0.049751	0.000282
2.322044	-0.230251	0.000054	0.049132	0.000282
2.326854	-0.229644	0.000053	0.049113	0.000297
2.331663	-0.229258	0.000054	0.049087	0.000278
2.336473	-0.228467	0.000050	0.048974	0.000279
2.341283	-0.228911	0.000056	0.049400	0.000278
2.346092	-0.227490	0.000052	0.049110	0.000299
2.350902	-0.227974	0.000054	0.048434	0.000272
2.355711	-0.227355	0.000056	0.048718	0.000268
2.360521	-0.225208	0.000053	0.048667	0.000281
2.365331	-0.226205	0.000054	0.048301	0.000255
2.370140	-0.224487	0.000052	0.048327	0.000265
2.374950	-0.224284	0.000052	0.049125	0.000272
2.379760	-0.223864	0.000053	0.048342	0.000275
2.384569	-0.224572	0.000052	0.048291	0.000260
2.389379	-0.223182	0.000048	0.048798	0.000273
2.394188	-0.223670	0.000052	0.047941	0.000259
2.398998	-0.221282	0.000052	0.047920	0.000266
2.403808	-0.221340	0.000052	0.048464	0.000257
2.408617	-0.220495	0.000053	0.047328	0.000255
2.413427	-0.219894	0.000051	0.048228	0.000252
2.418236	-0.220269	0.000050	0.046854	0.000270
2.423046	-0.218802	0.000051	0.047672	0.000254
